Event name,Customer ID,Screen,Time,Event ID,Device Info,OS,App Version
Swipe back,8215675206,Home,2024-03-15 00:45:20,6fa91735-ca1b-4821-93cf-5a7e9fa4c4ed,OnePlus 2,Android,['7.0.60']
Swipe,8215675206,App Kill,2024-03-15 00:45:30,03b76d16-d938-472e-ae07-9eab05507a8e,OnePlus 2,Android,['7.0.60']
Click,7632466689,App Launch,2024-03-15 00:46:03,86f614fe-f312-4a22-bce7-b0ca405b57c6,Galaxy Note8,Android,['7.0.60']
Click,7632466689,getjofiber,2024-03-15 00:46:13,536cc254-d032-4b7e-83c2-b42f44ef5b1e,Galaxy Note8,Android,['7.0.60']
Click,7632466689,Book your Fiber Today,2024-03-15 00:46:23,758af7a5-549d-468f-95cb-e8cb2ffe3ed9,Galaxy Note8,Android,['7.0.60']
Input,7632466689,number,2024-03-15 00:46:43,bb7ef208-04a3-4c3c-9cc8-3b77e814bbe8,Galaxy Note8,Android,['7.0.60']
Input,7632466689,name,2024-03-15 00:47:13,7f1b914b-3fa6-433d-a084-f49301e9321b,Galaxy Note8,Android,['7.0.60']
Input,7632466689,address,2024-03-15 00:47:43,ea8ba593-eafd-426b-a2d0-a523b5c6b1b0,Galaxy Note8,Android,['7.0.60']
Click,7632466689,Book,2024-03-15 00:48:13,de8c2308-ef6c-4c0b-8403-8929effc3ea0,Galaxy Note8,Android,['7.0.60']
Swipe back,7632466689,Home,2024-03-15 00:48:43,41013099-12dd-4734-8c75-fb24a59b3f76,Galaxy Note8,Android,['7.0.60']
Swipe,7632466689,App Kill,2024-03-15 00:48:53,601b0c9f-287a-49cc-949e-35f782d27950,Galaxy Note8,Android,['7.0.60']
Click,9390960465,App Launch,2024-03-15 00:46:30,d0cea73b-378e-4634-9b3d-bf911d1f7c8f,Galaxy S24,Android,['7.0.57']
Click,9390960465,Bank,2024-03-15 00:46:40,ba396d08-8492-4709-820b-29e2e1f1ced4,Galaxy S24,Android,['7.0.57']
Click,9390960465,Check Balance,2024-03-15 00:46:50,63891ddf-3ebd-45ba-be32-b272b7313b77,Galaxy S24,Android,['7.0.57']
Click,9390960465,proceed,2024-03-15 00:47:10,6629adfa-3f87-4a85-b074-0e55e51ee100,Galaxy S24,Android,['7.0.57']
Swipe back,9390960465,Home,2024-03-15 00:47:50,f84bee69-8013-41d8-a672-ba5f351b488a,Galaxy S24,Android,['7.0.57']
Swipe,9390960465,App Kill,2024-03-15 00:48:00,f43ff0c3-9ca9-499d-adc1-55e31f71254a,Galaxy S24,Android,['7.0.57']
Click,8295964676,App Launch,2024-03-15 00:47:28,5eb68a9c-5844-48f4-a019-68d96e1ca8fa,Galaxy S7,Android,['5.0.28']
Click,8295964676,Banner8,2024-03-15 00:47:38,a930877e-9e65-4442-8ee1-58e4c9636aee,Galaxy S7,Android,['5.0.28']
Scroll,8295964676,Banner8,2024-03-15 00:47:48,1726c0e7-0e81-4ec6-af51-30749135ffcb,Galaxy S7,Android,['5.0.28']
Swipe back,8295964676,Home,2024-03-15 00:48:08,03e7442f-857d-4611-83c0-78ab1dce30dd,Galaxy S7,Android,['5.0.28']
Swipe,8295964676,App Kill,2024-03-15 00:48:18,35328cb4-ba0e-431f-929e-7aeef9e6479d,Galaxy S7,Android,['5.0.28']
Click,8728561068,App Launch,2024-03-15 00:57:12,9fd19556-2350-4c34-ab7f-721d2576863c,OnePlus 11,Android,['5.0.28']
Click,8728561068,Music,2024-03-15 00:57:22,efa6435b-42c4-4dbc-94e6-2a8cfa4fac4a,OnePlus 11,Android,['5.0.28']
Scroll,8728561068,Music,2024-03-15 00:57:32,5a39c4b6-2a90-4cb3-97d7-faa1e3b0349e,OnePlus 11,Android,['5.0.28']
Click,8728561068,Music choosen,2024-03-15 00:57:52,faf272d3-eb2b-4b1d-8ed5-99e8e28273a2,OnePlus 11,Android,['5.0.28']
Click,8728561068,Play,2024-03-15 00:58:12,72e6c5a3-b568-4e96-a6b9-03d8adaa6bb1,OnePlus 11,Android,['5.0.28']
Swipe,8728561068,App running in background,2024-03-15 00:58:32,850b7658-9e07-4051-bdc6-0523a92c827f,OnePlus 11,Android,['5.0.28']
Click,8728561068,app launch,2024-03-15 00:58:42,cf47ec09-86d7-4216-8ea5-77da9954be21,OnePlus 11,Android,['5.0.28']
Click,8728561068,pause,2024-03-15 00:58:52,32b72b82-f6b3-4a23-8f57-0424b5ef4ea6,OnePlus 11,Android,['5.0.28']
Swipe,8728561068,App Kill,2024-03-15 00:59:02,321a0510-0e2c-480e-84f0-de4b78e40aaf,OnePlus 11,Android,['5.0.28']
Click,7906759162,App Launch,2024-03-15 01:12:10,87f38fb8-f255-446e-8654-f3ae34b93cbe,iPhone 6,IOS,['7.0.47']
Click,7906759162,Bank,2024-03-15 01:12:20,8d8a0135-1925-4baf-a335-d0e6d59636d7,iPhone 6,IOS,['7.0.47']
Click,7906759162,Check Balance,2024-03-15 01:12:30,24dccb8b-ab2a-4a92-aaaf-22227562ebde,iPhone 6,IOS,['7.0.47']
Click,7906759162,proceed,2024-03-15 01:12:50,4953d720-2507-4b10-b7a5-5da973b1ea5a,iPhone 6,IOS,['7.0.47']
Swipe back,7906759162,Home,2024-03-15 01:13:30,b1a41010-a300-458a-aa03-57c0337cf949,iPhone 6,IOS,['7.0.47']
Swipe,7906759162,App Kill,2024-03-15 01:13:40,933b3ddb-c2c6-4e0b-9932-470e2f153828,iPhone 6,IOS,['7.0.47']
Click,9286598930,App Launch,2024-03-15 01:12:42,2944b913-c18d-4e8d-a18c-334699be3f57,Pixel 4,Android,['5.0.28']
Click,9286598930,Health,2024-03-15 01:12:52,8172d814-52e6-4fd7-9c10-89bee189af3d,Pixel 4,Android,['5.0.28']
Scroll,9286598930,Health,2024-03-15 01:13:02,2b029ef6-fff6-48a9-ba2a-351e9db5c960,Pixel 4,Android,['5.0.28']
Swipe back,9286598930,Home,2024-03-15 01:13:22,2e638caf-b943-48fd-88d8-36f11c4540a1,Pixel 4,Android,['5.0.28']
Swipe,9286598930,App Kill,2024-03-15 01:13:32,44a22659-b912-4a94-b16c-28926c1ed80e,Pixel 4,Android,['5.0.28']
Click,9726467573,App Launch,2024-03-15 01:14:30,bf097ab8-1d14-4bb9-9479-740d1d62f29d,Pixel 3a XL,Android,['7.0.47']
Click,9726467573,Pharmacy,2024-03-15 01:14:40,f3d86da9-a2bb-47d4-980c-a26d7a4d4cb8,Pixel 3a XL,Android,['7.0.47']
Swipe back,9726467573,Home,2024-03-15 01:14:50,a811b4ee-3f66-4632-9f8d-59bf68d82d45,Pixel 3a XL,Android,['7.0.47']
Swipe,9726467573,App Kill,2024-03-15 01:15:00,9b047c5a-4e03-4717-bb95-3d8489a701f2,Pixel 3a XL,Android,['7.0.47']
Click,7154044231,App Launch,2024-03-15 01:21:13,abfa9780-21ce-4fff-910f-fbb67142ff36,Galaxy S23,Android,['7.0.60']
Click,7154044231,Movies,2024-03-15 01:21:23,20227c5d-0262-4ebb-a471-bd18c10b2382,Galaxy S23,Android,['7.0.60']
Scroll,7154044231,Movies,2024-03-15 01:21:33,f19760e3-f504-454a-8953-82978505a493,Galaxy S23,Android,['7.0.60']
Swipe back,7154044231,Home,2024-03-15 01:21:53,2332c8ef-e9ad-4fae-8542-4c3d57fee1d6,Galaxy S23,Android,['7.0.60']
Swipe,7154044231,App Kill,2024-03-15 01:22:03,8d840558-5b0f-4c92-96f2-97dc50a24f0c,Galaxy S23,Android,['7.0.60']
Click,8809043002,App Launch,2024-03-15 01:25:02,6548bb39-e019-47d7-b2cf-f80b16bcdf89,HTC One series,Android,['7.0.47']
Click,8809043002,Bank,2024-03-15 01:25:12,a740d870-dd2e-46dc-8a52-f97d4f2967e0,HTC One series,Android,['7.0.47']
Swipe back,8809043002,Home,2024-03-15 01:25:22,6fa4b8aa-1656-41a0-95ef-ea896352b875,HTC One series,Android,['7.0.47']
Swipe,8809043002,App Kill,2024-03-15 01:25:32,e2dfc30a-ef09-43f9-8457-1f0178c93581,HTC One series,Android,['7.0.47']
Click,8119501077,App Launch,2024-03-15 01:29:06,a87ae6b4-59d2-48a4-b6e6-eed6a40fcdfe,Galaxy J series,Android,['7.0.01']
Click,8119501077,TV,2024-03-15 01:29:16,6cfa6275-a4e9-46d1-a577-3f42cb10ff0f,Galaxy J series,Android,['7.0.01']
Scroll,8119501077,TV,2024-03-15 01:29:26,1fd6bafd-18cb-4c31-891e-d1e6c798ea37,Galaxy J series,Android,['7.0.01']
Scroll,8119501077,TV,2024-03-15 01:29:46,0f229170-058c-44a0-88dc-dc0f9bb527e8,Galaxy J series,Android,['7.0.01']
Click,8119501077,Check out,2024-03-15 01:30:06,0f29ec38-bf32-4e49-8bc5-7f8950a79ff0,Galaxy J series,Android,['7.0.01']
Scroll,8119501077,TV,2024-03-15 01:30:46,1c0cf767-ea17-466e-b2e0-2f62a9a88009,Galaxy J series,Android,['7.0.01']
Swipe back,8119501077,Home,2024-03-15 01:31:06,b4e63473-e197-4fd7-bc14-84210ed9059a,Galaxy J series,Android,['7.0.01']
Swipe,8119501077,App Kill,2024-03-15 01:31:16,155d3232-6cc9-4100-89ee-73d373143b12,Galaxy J series,Android,['7.0.01']
Click,9796208561,App Launch,2024-03-15 01:31:29,fae8723a-d26a-4442-bfb6-66cf19fd1394,OnePlus 11,Android,['7.0.57']
Click,9796208561,Banner3,2024-03-15 01:31:39,90b13370-dbdb-41ae-b80c-a4e40e4205ee,OnePlus 11,Android,['7.0.57']
Scroll,9796208561,Banner3,2024-03-15 01:31:49,90c07a1c-44db-4aed-8394-9a9d5fe58440,OnePlus 11,Android,['7.0.57']
Swipe back,9796208561,Home,2024-03-15 01:32:09,84b1e484-5bfc-485f-aacc-4bdcc0d357c1,OnePlus 11,Android,['7.0.57']
Swipe,9796208561,App Kill,2024-03-15 01:32:19,59953bbf-0a06-4a1a-b6d2-b1247b97fa18,OnePlus 11,Android,['7.0.57']
Click,8578076493,App Launch,2024-03-15 01:31:47,712899ff-946b-4418-b6a2-0a4e3816c7fd,Galaxy Note20,Android,['7.0.60']
Click,8578076493,Movies,2024-03-15 01:31:57,ce734f4c-046d-4028-8c09-5b2a17c46a7d,Galaxy Note20,Android,['7.0.60']
Scroll,8578076493,Movies,2024-03-15 01:32:07,8c8a299f-fc29-4970-a225-5aa822e0732c,Galaxy Note20,Android,['7.0.60']
Swipe back,8578076493,Home,2024-03-15 01:32:27,3a8cfeab-7e6a-4ffc-b4a7-4d55076d3d57,Galaxy Note20,Android,['7.0.60']
Swipe,8578076493,App Kill,2024-03-15 01:32:37,af55e7d2-3a5b-4a21-a739-2c2d6ebb3ac8,Galaxy Note20,Android,['7.0.60']
Click,8527704076,App Launch,2024-03-15 01:35:32,e2b2c2c9-a4b4-4e2a-b69d-cb02b674debb,Galaxy S22,Android,['7.0.57']
Click,8527704076,Banner5,2024-03-15 01:35:42,fb6c2bfa-3509-4cdc-bb45-8d55293d57cf,Galaxy S22,Android,['7.0.57']
Scroll,8527704076,Banner5,2024-03-15 01:35:52,5c6a97cc-ad7f-49c8-9125-9b162494db08,Galaxy S22,Android,['7.0.57']
Swipe back,8527704076,Home,2024-03-15 01:36:12,5934c8f3-a4d4-4a7d-99b5-361fad43ce13,Galaxy S22,Android,['7.0.57']
Swipe,8527704076,App Kill,2024-03-15 01:36:22,45841ec0-2e6d-4df3-acc9-760204bc36ff,Galaxy S22,Android,['7.0.57']
Click,9971110698,App Launch,2024-03-15 01:35:55,d2b3629a-a8e5-48c3-b963-077fa315c4f0,Pixel 3a XL,Android,['6.0.11']
Click,9971110698,Pharmacy,2024-03-15 01:36:05,a39a208b-950a-40ac-8c66-b5475d6507a2,Pixel 3a XL,Android,['6.0.11']
Swipe back,9971110698,Home,2024-03-15 01:36:15,35c099d5-0afb-4407-b9fd-aec681aee901,Pixel 3a XL,Android,['6.0.11']
Swipe,9971110698,App Kill,2024-03-15 01:36:25,1490d825-6de3-479b-8782-e70f5c7b1ee0,Pixel 3a XL,Android,['6.0.11']
Click,8232681411,App Launch,2024-03-15 01:42:10,4861a541-4cd6-4035-927d-af5d165cec3a,Galaxy S20,Android,['7.0.60']
Click,8232681411,Banner3,2024-03-15 01:42:20,05464a13-b445-4dd0-90ea-78f1f283cc7c,Galaxy S20,Android,['7.0.60']
Scroll,8232681411,Banner3,2024-03-15 01:42:30,78994c04-ad19-47aa-b97e-e637fe184e08,Galaxy S20,Android,['7.0.60']
Swipe back,8232681411,Home,2024-03-15 01:42:50,2c0c541d-0456-4d48-a8d4-188c2d403184,Galaxy S20,Android,['7.0.60']
Swipe,8232681411,App Kill,2024-03-15 01:43:00,509f2f7f-aa72-4cbc-8697-ee333909df29,Galaxy S20,Android,['7.0.60']
Click,8749042532,App Launch,2024-03-15 01:44:37,37469044-2e18-406b-8568-0915ac9ccb3f,HTC One series,Android,['7.0.03']
Click,8749042532,Music,2024-03-15 01:44:47,f7a092bf-af11-4241-91b0-fd4a831a8717,HTC One series,Android,['7.0.03']
Scroll,8749042532,Music,2024-03-15 01:44:57,ad934cde-ba2f-4826-88dc-5ff46bd0e424,HTC One series,Android,['7.0.03']
Swipe back,8749042532,Home,2024-03-15 01:45:17,c5c7f877-654f-42b3-90a7-0ccf0fb87c46,HTC One series,Android,['7.0.03']
Swipe,8749042532,App Kill,2024-03-15 01:45:27,39cdd73f-0889-48aa-9933-c490cab06fa5,HTC One series,Android,['7.0.03']
Click,7940210557,App Launch,2024-03-15 01:46:25,21035609-4eee-4439-ad87-7e6fd78b60f2,Galaxy S22,Android,['7.0.25']
Click,7940210557,Health,2024-03-15 01:46:35,d4a122ef-8fc0-46af-9c00-30c70fa8f52a,Galaxy S22,Android,['7.0.25']
Scroll,7940210557,Health,2024-03-15 01:46:45,7ab983f2-af33-42ff-a6bd-153b83afc527,Galaxy S22,Android,['7.0.25']
Swipe back,7940210557,Home,2024-03-15 01:47:05,d1364228-d497-48dd-8fdd-37e5bc4a2685,Galaxy S22,Android,['7.0.25']
Swipe,7940210557,App Kill,2024-03-15 01:47:15,12117941-88ec-48ca-90fd-1d242191e949,Galaxy S22,Android,['7.0.25']
Click,7490448434,App Launch,2024-03-15 01:51:24,e06dcc03-1f13-4f8b-be93-509c97cb79e9,Pixel 3a,Android,['7.0.60']
Click,7490448434,Mobile,2024-03-15 01:51:34,d223e2e5-92d6-4b3c-98a7-b67eee298bf3,Pixel 3a,Android,['7.0.60']
Scroll,7490448434,Mobile,2024-03-15 01:51:44,5d9ae486-30ae-4e41-a928-451929dee87b,Pixel 3a,Android,['7.0.60']
Click,7490448434,Get Jio SIM,2024-03-15 01:52:04,07974be6-1316-473f-b4dd-b615ff33d483,Pixel 3a,Android,['7.0.60']
Input,7490448434,name,2024-03-15 01:52:14,b39841f9-4ac5-4653-907d-03b740e66da2,Pixel 3a,Android,['7.0.60']
Input,7490448434,phone number,2024-03-15 01:52:44,f03583b5-86cb-4003-8ccc-910de445675b,Pixel 3a,Android,['7.0.60']
Click,7490448434,generate otp,2024-03-15 01:53:14,e27b0014-a218-46eb-b51f-38174da9df50,Pixel 3a,Android,['7.0.60']
Input,7490448434,otp,2024-03-15 01:53:44,f5eb21b1-04e0-45fe-a942-8e691eaa283f,Pixel 3a,Android,['7.0.60']
Click,7490448434,proceed,2024-03-15 01:54:14,2648972d-fee7-425a-9703-40cdf0cc8132,Pixel 3a,Android,['7.0.60']
Swipe back,7490448434,Home,2024-03-15 01:55:14,4c74cb31-9ff5-4468-ac65-625644246bb8,Pixel 3a,Android,['7.0.60']
Swipe,7490448434,App Kill,2024-03-15 01:55:24,201d5d13-41d8-40cb-9645-a94ae5711d4c,Pixel 3a,Android,['7.0.60']
Click,7346554078,App Launch,2024-03-15 01:52:09,1e5e5811-826b-47e8-bc7c-3af8cbde19fc,OnePlus 10 Pro,Android,['7.0.47']
Click,7346554078,Banner6,2024-03-15 01:52:19,e19f7167-4c41-4db3-a6c2-7fa984af5e53,OnePlus 10 Pro,Android,['7.0.47']
Scroll,7346554078,Banner6,2024-03-15 01:52:29,9b2f595d-60d6-4a5e-a3aa-6ae15ee15497,OnePlus 10 Pro,Android,['7.0.47']
Swipe back,7346554078,Home,2024-03-15 01:52:49,a1dc1c39-a993-41f2-a381-db3c1b69ab3e,OnePlus 10 Pro,Android,['7.0.47']
Swipe,7346554078,App Kill,2024-03-15 01:52:59,796dd985-4272-4bbb-9a86-087248663204,OnePlus 10 Pro,Android,['7.0.47']
Click,7465661676,App Launch,2024-03-15 01:52:54,655a5404-9d89-44a7-b5ec-538091f4c572,OnePlus 10,Android,['7.0.47']
Click,7465661676,getprepaid,2024-03-15 01:53:04,147fb941-9a4d-48d2-b758-be8af62257f7,OnePlus 10,Android,['7.0.47']
Click,7465661676,Port to Prepaid,2024-03-15 01:53:14,ca8d638e-39ae-4c16-a65d-c3ea5459cb15,OnePlus 10,Android,['7.0.47']
Input,7465661676,number,2024-03-15 01:53:34,4326290c-ed44-4f7c-9cc8-4c4c5b91785e,OnePlus 10,Android,['7.0.47']
Input,7465661676,name,2024-03-15 01:54:04,d8c8d103-1e61-4019-be83-4aa46e4b5d1d,OnePlus 10,Android,['7.0.47']
Click,7465661676,Port,2024-03-15 01:54:34,f275ea3e-421f-4f9d-990d-e793492d62b3,OnePlus 10,Android,['7.0.47']
Swipe back,7465661676,Home,2024-03-15 01:55:04,b0857d1d-214b-4e5f-9364-db9cb19b07e5,OnePlus 10,Android,['7.0.47']
Swipe,7465661676,App Kill,2024-03-15 01:55:14,d8620a8e-ccd5-44d1-b7c3-16a57ad35c67,OnePlus 10,Android,['7.0.47']
Click,9719649963,App Launch,2024-03-15 01:55:34,2393931f-76af-4fe9-bb50-33da7f65d267,Galaxy Note10,Android,['7.0.47']
Click,9719649963,Banner4,2024-03-15 01:55:44,da94525b-4233-4e98-88b7-cb62d465f220,Galaxy Note10,Android,['7.0.47']
Scroll,9719649963,Banner4,2024-03-15 01:55:54,cc38d0d2-1a27-4c64-a6d9-e27956b2e899,Galaxy Note10,Android,['7.0.47']
Swipe back,9719649963,Home,2024-03-15 01:56:14,a86e78a8-28e1-43a8-a6c6-6d664c402d9d,Galaxy Note10,Android,['7.0.47']
Swipe,9719649963,App Kill,2024-03-15 01:56:24,db5f0b42-89d7-4718-ab9c-cb92a8afe1a4,Galaxy Note10,Android,['7.0.47']
Click,7604000285,App Launch,2024-03-15 01:55:38,11b46a11-080e-4eed-917f-f57199947478,Nokia XR21,Android,['5.0.28']
Click,7604000285,Movies,2024-03-15 01:55:48,6bee0bad-07a9-40a9-84cc-8c4d5a5fafae,Nokia XR21,Android,['5.0.28']
Scroll,7604000285,Movies,2024-03-15 01:55:58,56fc946e-15bd-4bfc-946b-033c293e6f24,Nokia XR21,Android,['5.0.28']
Swipe back,7604000285,Home,2024-03-15 01:56:18,9d4e8192-31cc-45fd-a5f7-230e1bbd787b,Nokia XR21,Android,['5.0.28']
Swipe,7604000285,App Kill,2024-03-15 01:56:28,17bb63b2-d9e9-4071-ba86-9c3b17d5d32b,Nokia XR21,Android,['5.0.28']
Click,9745183546,App Launch,2024-03-15 01:59:01,c4aa05a1-aa39-46b4-9ff7-8b5ac1e75389,OnePlus 11,Android,['7.0.60']
Click,9745183546,Banner2,2024-03-15 01:59:11,49e3c852-548f-4d50-a377-972923fbc68c,OnePlus 11,Android,['7.0.60']
Scroll,9745183546,Banner2,2024-03-15 01:59:21,e3ac60b2-35fb-4f59-994e-aec1eea1d4db,OnePlus 11,Android,['7.0.60']
Swipe back,9745183546,Home,2024-03-15 01:59:41,52677fab-41d3-46a9-9c03-7340c309bb35,OnePlus 11,Android,['7.0.60']
Swipe,9745183546,App Kill,2024-03-15 01:59:51,23964e39-aa6e-433a-97c2-72f6758db4e7,OnePlus 11,Android,['7.0.60']
Click,9838851599,App Launch,2024-03-15 02:01:09,9efb7058-b3a1-41ae-9168-3385b10ab684,OnePlus 12,Android,['7.0.60']
Click,9838851599,play&Win,2024-03-15 02:01:19,3d211a89-b986-4967-b8ac-7970c10bc6e5,OnePlus 12,Android,['7.0.60']
Click,9838851599,Spin wheel,2024-03-15 02:01:29,71713e97-4d7c-4f9b-a62d-0e1fe097c96c,OnePlus 12,Android,['7.0.60']
Click,9838851599,Spin,2024-03-15 02:01:49,19d8e81c-93d7-45b2-85fe-6fe0680fca74,OnePlus 12,Android,['7.0.60']
Click,9838851599,Claim prize,2024-03-15 02:02:09,bc5e57d2-825a-4671-b15c-a9fce679d8b6,OnePlus 12,Android,['7.0.60']
Swipe back,9838851599,Home,2024-03-15 02:02:49,cae23a41-004b-4dca-aa60-fbc599505f44,OnePlus 12,Android,['7.0.60']
Swipe,9838851599,App Kill,2024-03-15 02:02:59,227a24a3-5ed3-45ce-8912-2a997851e47f,OnePlus 12,Android,['7.0.60']
Click,9147737351,App Launch,2024-03-15 02:02:46,f044a528-b65a-4f05-90a0-fa411c0784f0,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60']
Click,9147737351,Banner1,2024-03-15 02:02:56,4acd8e2f-442a-48dc-a9a6-22ea8446c6b1,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60']
Scroll,9147737351,Banner1,2024-03-15 02:03:06,97d1dc52-945d-4999-9dd1-a410da5aab46,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60']
Swipe back,9147737351,Home,2024-03-15 02:03:26,5027b4cb-52ce-44c4-a65d-7212eb1084e2,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60']
Swipe,9147737351,App Kill,2024-03-15 02:03:36,15949e1b-a7cb-420b-acfe-2e2c0e46b6b9,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60']
Click,8116216962,App Launch,2024-03-15 02:02:49,34d2bad4-7b6b-454b-a3be-8f4c4ab1d539,Nokia G42 5G,Android,['7.0.47']
Click,8116216962,port_no,2024-03-15 02:02:59,73afd7e2-d22f-45de-a7ec-183629a6e571,Nokia G42 5G,Android,['7.0.47']
Click,8116216962,Port to Jio Number,2024-03-15 02:03:09,9dfed839-91eb-4ede-9793-2b196de13346,Nokia G42 5G,Android,['7.0.47']
Input,8116216962,number,2024-03-15 02:03:29,9bc3fed4-81af-48ac-b65e-ff05509a36f3,Nokia G42 5G,Android,['7.0.47']
Input,8116216962,name,2024-03-15 02:03:59,f6ec6237-b707-4092-8162-01b91f9698d7,Nokia G42 5G,Android,['7.0.47']
Swipe back,8116216962,Home,2024-03-15 02:04:29,521cc78c-accc-48e2-b2f1-ecdd89697a55,Nokia G42 5G,Android,['7.0.47']
Swipe,8116216962,App Kill,2024-03-15 02:04:39,486a503b-ac54-45d6-8938-64954090e369,Nokia G42 5G,Android,['7.0.47']
Click,8618843222,App Launch,2024-03-15 02:03:32,513d94fa-9415-47a7-abeb-1f3f46e01e2c,iPhone 12 Pro,IOS,['7.0.60']
